mes,Alto Extremadura,Arturo Soria,Avda de Moratalaz,Barajas Pueblo,Barrio del Pilar,Campo de las Naciones,Carlos V,Casa de Campo,Castellana,Cuatro Caminos,Cuatro Vientos,El Pardo,Embajada,Ensanche de Vallecas,Escuelas Aguirre,Farolillo,Glorieta Fdez. Ladreda,Gregorio Marañón,Méndez Álvaro,Paseo de Recoletos,Plaza Manuel Becerra,Plaza de España,Plaza del Carmen,Pza de Castilla,Ramón y Cajal,Sanchinarro,Santa Eugenia,Tres Olivos,Urbanización Embajada II,Vallecas,Villaverde
2021-08-01,52.80893303084624,54.99365287146901,55.2,50.64267932058658,57.079480407064,55.633928030491674,64.3333717051369,45.7,55.52229064936448,56.05214332896393,60.37734590293319,50.01138645287721,54.56665761525608,55.55210827609875,60.6,50.24557436674012,61.173930121111745,62.76299083441502,48.365894663725804,61.135777269034136,58.674993248939685,58.96903690759839,56.353032939446805,60.52602166791283,63.86,50.23389313465103,65.65112776330852,49.71379487673583,50.86150236916032,51.28356495458989,51.34509974069694
2021-09-01,54.373566575700316,54.98771634275432,53.9,51.94767808624902,56.489740203531994,55.645588750186754,66.03333339271066,44.3,57.538522907875596,58.99849654879712,59.87414213205323,50.060817130233346,56.36664605070281,56.584515846200674,59.7,50.853311493364195,61.14075501263393,64.90556315116507,49.60845221176898,61.1144194963438,58.89699486919417,59.387294006982266,57.77495416527877,62.21731701771907,63.79,52.63911016552087,66.63835698810091,49.333311798923376,49.55799061598169,52.762598760049784,52.150193842043926
2021-10-01,54.5256272938416,54.957839179326776,55.6,52.059098437129215,56.894870101765996,55.66013286268488,65.9333431557004,44.0,57.787873110496044,58.825342607495706,60.09189949243726,50.09277627372168,57.36675390563377,56.78935761856598,61.9,50.00818558170123,61.18690216174956,65.47028903173933,48.68502257559976,61.106275301380364,59.13771610058757,59.3058078071622,58.00942790418289,62.52661121667071,63.72,53.755563736921154,66.88710605229002,49.45331567511717,50.03307756015524,52.77664543566621,51.94072071487795
2021-11-01,55.31419585406251,54.93226078753351,56.0,53.02254302789774,57.047435050882996,55.67253153405804,66.50003867269082,44.4,58.209521459711965,59.566033400598556,60.45432964470608,50.0531374600356,58.40015490554054,56.974421510367435,62.0,49.49079557991369,61.22981901042709,65.99919239545018,47.98413571953544,61.09721254836656,59.32066423644655,59.04134064916794,58.02965988643799,62.81958619398752,63.65,54.5720141460012,68.0129812676075,49.53371885359608,50.230600165640354,53.323196641809005,51.99965171910462
2021-12-01,55.57992713773154,54.916938179658175,56.1,52.27132515873066,57.073717525441495,55.67780621871746,66.80000054190047,43.6,58.15505941104773,59.609831377989295,60.82803075129425,49.99548058703382,58.00002196261798,56.80074945044193,61.88,49.12705837293519,61.2067316796972,65.64745882512386,48.17009735356455,61.092240422882895,59.43570481969938,58.99315822178684,57.19600906047896,63.307767089363715,63.58,55.15689031079811,67.90991174963241,49.65364945994878,51.317956043066495,53.46892305301242,51.75481330320729
2022-01-01,54.95196142814934,54.8997687978616,55.9,53.1591412487487,57.23685876272074,55.67902815653028,65.90001221121038,44.5,57.92701032308466,58.791799188410735,61.14962152590597,49.935706557682124,57.34991199555704,56.481566454335955,61.76,48.72059658228194,61.1922604621184,65.07009062621157,46.92733497510746,61.085318018654064,59.40313566297153,58.944829326303456,55.85937295171255,62.73173400479544,63.51,53.65953986337053,67.40917984272363,49.643992557158,51.30466857119728,51.872182139239605,50.90384190949512
2022-02-01,55.77568522507584,54.872771109882976,55.7,52.78157526418675,57.21842938136037,55.682237874964976,66.83329284098484,43.9,58.90667833665155,59.77919716757379,61.16473506813418,49.90892122979801,58.26664783150066,57.13959671914986,61.64,49.61909861851508,61.12280222977011,65.81154070883572,48.319243225825836,61.075464838467525,59.474383103858365,58.89651957864435,58.233287875019364,62.802499472109304,63.44,53.92470255340133,68.09856585959562,49.52807389686956,51.301213828511294,53.42518713663532,52.27711838737187
2022-03-01,54.68696249661551,54.85104339878415,55.9,52.02081443056821,57.25921469068018,55.70241549621532,65.29998482654902,43.2,57.24126330649837,57.908673074676976,61.32531454769392,49.92347516830811,57.00001465668763,55.79364682746374,61.52,48.2803047400496,61.093206073686204,64.40227007228167,47.833926831014836,61.06871019008285,59.624531158932356,58.848413720287134,56.47530737613017,61.61910188421704,63.37,52.04784782402134,67.3572612673282,49.577020595433034,51.744315595412935,51.987221129940025,51.229839399400454
2022-04-01,53.17626385248893,54.845532964796305,56.6,51.131472041885324,57.52960734534009,55.710391341253164,65.39996588293913,44.3,55.63515971468769,57.44622797956925,61.52772018338574,49.9273014098927,57.033454633215904,54.457371900925324,61.4,48.579365104775825,61.093681648528175,62.61019020716853,48.80429763118916,61.07102308818202,59.59464368078859,58.79990312122231,55.317183600860766,60.79360985090061,63.3,51.03680084495264,66.63458463248416,49.869156888255084,52.377522054807365,52.60811101505254,51.942694579823325
2022-05-01,54.448385862758876,54.82707763514834,56.0,52.56000900549836,57.16480367267005,55.71528742784063,66.56667075855813,45.5,55.88270492538035,59.18071134055403,61.189404128370015,49.965936339398056,58.2667578277217,56.031766787244145,60.5,50.23287823743314,61.04512393313121,63.38741924609091,51.15489975320527,61.061312857300194,59.571929197399335,58.601220588016886,59.170424894939174,62.000390662628675,62.0,52.249073168453315,66.3009703400418,49.98270864836917,51.802155734249915,55.18047628353877,54.286627537425474
2022-06-01,55.241926667794665,54.797806858796854,56.3,53.26213587663241,56.98240183633502,55.72013455356222,66.86666482510984,44.7,57.22454394806246,60.16853539164436,60.892582889859,50.04763952242815,58.86668893442075,57.05326252208642,60.2,51.227101725544074,60.992965257812024,64.93159914733604,51.619785983334204,61.04969972872719,59.5546661900235,58.40117971123774,60.407425574939275,62.91774281275868,61.8,53.105433831934846,67.06739685794876,50.183821091662715,51.20856049090498,55.700748606401895,55.50641493324838
2022-07-01,55.55296754261388,54.77382879020889,55.8,53.31822544047654,57.04120091816751,55.722933208026596,65.99998845494186,45.5,56.31751565867685,58.54138656002564,60.9248080229013,50.09525754630673,58.10005155978308,56.470668370652106,60.6,50.48801244203132,60.979457689765184,64.48222763638253,50.0882944595536,61.03920273143992,59.37354630441786,58.83441856221464,59.22442315160799,62.199346394415045,61.6,52.28695833738193,66.83387662851075,50.312733295163426,50.98022572763529,54.304168030513665,54.59084754743018
2022-08-01,52.991102844449976,54.75575716897346,54.6,52.621742983629794,56.87060045908376,55.72070387594633,64.83337170513842,45.8,55.04963945979306,55.93738516308242,60.67736561603091,49.960494668991394,56.866657615256074,55.248344623103904,60.6,49.801492488748664,60.94589565148162,62.88160801449199,47.19951401450195,61.02781070412552,59.01989519135757,58.9345541489777,56.975367838146816,60.88806853478161,63.2,50.688363539653196,66.40039197763136,50.14844130203401,51.06885868918518,52.55314912637001,52.340361267454014
2022-09-01,54.30683733217538,54.74353293061706,53.8,53.19744137711821,56.58530022954188,55.732496837186865,66.53333339271218,44.7,57.032761027593274,59.008298119129506,59.36415593122163,49.95746993554182,58.86664605070281,56.38099419869271,60.7,50.245507279248876,60.85868295587791,65.01785049001586,47.53646079229218,61.000532597084266,59.13512034543175,58.701087110430535,58.824218077895104,62.59796091982252,61.2,52.93514178547206,67.42530514884312,49.11372186766789,49.75990325918815,53.64242806925724,52.04448307105736
2022-10-01,54.33624577632757,54.737097601310886,55.2,53.10093747492006,56.94265011477094,55.732496837186865,66.03334315570152,44.8,57.1796093190873,58.887459267038885,58.56490915185515,49.95746993554182,59.066753905633774,57.13385525759302,62.3,49.21997130607877,60.81257514896646,65.40839867538084,48.234862833015455,60.99252727111342,59.13512034543175,59.36787677267945,58.4606555518937,62.81873960674363,65.5,54.01042871668288,67.52731717284667,48.967251931487674,50.011574847388914,53.507216418235835,52.17986409923003
